mes,alerta,n,base,porcentaje
2026-01,fecha_fuera_del_mes_o_nula,7,3724889,0.00018792506300187737
2026-01,tarifa_no_positiva_o_no_finita,41545,3724889,1.115335248916142
2026-01,propina_negativa_o_no_finita,67,3724889,0.0017987113173036835
2026-01,duracion_no_positiva_o_no_finita,45070,3724889,1.2099689413563735
2026-01,duracion_mayor_180_min,1755,3724889,0.047115497938327824
2026-01,distancia_negativa_o_no_finita,0,3724889,0.0
2026-01,distancia_mayor_200_millas,115,3724889,0.003087340320745128
2026-01,tarifa_positiva_menor_1_dolar,238,3724889,0.006389452142063831
2026-02,fecha_fuera_del_mes_o_nula,16,3399866,0.00047060678273790795
2026-02,tarifa_no_positiva_o_no_finita,29100,3399866,0.8559160861045699
2026-02,propina_negativa_o_no_finita,41,3399866,0.001205929880765889
2026-02,duracion_no_positiva_o_no_finita,40598,3399866,1.194105885349599
2026-02,duracion_mayor_180_min,1528,3399866,0.0449429477514702
2026-02,distancia_negativa_o_no_finita,0,3399866,0.0
2026-02,distancia_mayor_200_millas,110,3399866,0.003235421631323117
2026-02,tarifa_positiva_menor_1_dolar,198,3399866,0.00582375893638161
2026-03,fecha_fuera_del_mes_o_nula,19,3952451,0.0004807143719175772
2026-03,tarifa_no_positiva_o_no_finita,23719,3952451,0.6001086414480533
2026-03,propina_negativa_o_no_finita,40,3952451,0.0010120302566685837
2026-03,duracion_no_positiva_o_no_finita,49133,3952451,1.243102065022438
2026-03,duracion_mayor_180_min,1181,3952451,0.029880193328139935
2026-03,distancia_negativa_o_no_finita,0,3952451,0.0
2026-03,distancia_mayor_200_millas,114,3952451,0.0028842862315054635
2026-03,tarifa_positiva_menor_1_dolar,236,3952451,0.005970978514344643
