mes,tpep_pickup_datetime,fare_amount,tip_amount,tip_percentage,duration_min,trip_distance
2026-01,2026-01-02 21:07:19,0.01,30.0,300000.0,0.4166666666666667,0.0
2026-01,2026-01-23 12:08:51,0.01,15.0,150000.0,0.55,0.0
2026-01,2026-01-11 22:43:24,3.0,489.99,16333.0,0.05,0.0
2026-01,2026-01-25 17:48:01,3.0,489.0,16300.0,0.23333333333333334,0.0
2026-01,2026-01-31 19:12:00,3.0,489.0,16300.0,0.13333333333333333,0.0
2026-02,2026-02-15 12:29:42,0.01,45.0,450000.0,0.2833333333333333,0.0
2026-02,2026-02-24 20:22:26,0.01,19.0,190000.0,1.45,0.1
2026-02,2026-02-22 20:56:38,0.01,5.0,50000.0,70.78333333333333,25.1
2026-02,2026-02-07 05:13:15,3.0,453.0,15100.0,0.03333333333333333,0.0
2026-02,2026-02-15 23:38:44,3.0,314.5,10483.333333333334,0.06666666666666667,0.0
2026-03,2026-03-20 12:52:38,0.01,14.0,140000.0,2.0,0.0
2026-03,2026-03-26 17:59:32,0.01,8.0,80000.0,0.95,0.0
2026-03,2026-03-29 02:29:25,0.2,89.22,44610.0,0.13333333333333333,0.0
2026-03,2026-03-08 22:54:43,3.0,397.0,13233.333333333334,0.11666666666666667,0.0
2026-03,2026-03-14 12:06:19,1.0,98.0,9800.0,0.08333333333333333,0.0
