mes,paso,restantes,excluidos_en_paso
2026-01,01_originales,3724889,0
2026-01,02_fecha_del_mes,3724882,7
2026-01,03_pago_tarjeta,2249744,1475138
2026-01,04_tarifa_positiva_finita,2249454,290
2026-01,05_propina_no_negativa_finita,2249454,0
2026-01,06_duracion_positiva_finita,2210259,39195
2026-01,07_etiqueta_antes_del_corte,2210259,0
2026-01,08_sin_duplicados_exactos,2210259,0
2026-01,09_objetivo_finito,2210259,0
2026-02,01_originales,3399866,0
2026-02,02_fecha_del_mes,3399850,16
2026-02,03_pago_tarjeta,2051646,1348204
2026-02,04_tarifa_positiva_finita,2051442,204
2026-02,05_propina_no_negativa_finita,2051442,0
2026-02,06_duracion_positiva_finita,2015983,35459
2026-02,07_etiqueta_antes_del_corte,2014817,1166
2026-02,08_sin_duplicados_exactos,2014817,0
2026-02,09_objetivo_finito,2014817,0
2026-03,01_originales,3952451,0
2026-03,02_fecha_del_mes,3952432,19
2026-03,03_pago_tarjeta,2608813,1343619
2026-03,04_tarifa_positiva_finita,2608526,287
2026-03,05_propina_no_negativa_finita,2608526,0
2026-03,06_duracion_positiva_finita,2565891,42635
2026-03,07_etiqueta_antes_del_corte,2565402,489
2026-03,08_sin_duplicados_exactos,2565402,0
2026-03,09_objetivo_finito,2565402,0
