mes,variable,tipo_pandas
2026-01,VendorID,int32
2026-01,tpep_pickup_datetime,datetime64[us]
2026-01,tpep_dropoff_datetime,datetime64[us]
2026-01,passenger_count,float64
2026-01,trip_distance,float64
2026-01,RatecodeID,float64
2026-01,store_and_fwd_flag,object
2026-01,PULocationID,int32
2026-01,DOLocationID,int32
2026-01,payment_type,int64
2026-01,fare_amount,float64
2026-01,extra,float64
2026-01,mta_tax,float64
2026-01,tip_amount,float64
2026-01,tolls_amount,float64
2026-01,improvement_surcharge,float64
2026-01,total_amount,float64
2026-01,congestion_surcharge,float64
2026-01,Airport_fee,float64
2026-01,cbd_congestion_fee,float64
2026-02,VendorID,int32
2026-02,tpep_pickup_datetime,datetime64[us]
2026-02,tpep_dropoff_datetime,datetime64[us]
2026-02,passenger_count,float64
2026-02,trip_distance,float64
2026-02,RatecodeID,float64
2026-02,store_and_fwd_flag,object
2026-02,PULocationID,int32
2026-02,DOLocationID,int32
2026-02,payment_type,int64
2026-02,fare_amount,float64
2026-02,extra,float64
2026-02,mta_tax,float64
2026-02,tip_amount,float64
2026-02,tolls_amount,float64
2026-02,improvement_surcharge,float64
2026-02,total_amount,float64
2026-02,congestion_surcharge,float64
2026-02,Airport_fee,float64
2026-02,cbd_congestion_fee,float64
2026-03,VendorID,int32
2026-03,tpep_pickup_datetime,datetime64[us]
2026-03,tpep_dropoff_datetime,datetime64[us]
2026-03,passenger_count,float64
2026-03,trip_distance,float64
2026-03,RatecodeID,float64
2026-03,store_and_fwd_flag,object
2026-03,PULocationID,int32
2026-03,DOLocationID,int32
2026-03,payment_type,int64
2026-03,fare_amount,float64
2026-03,extra,float64
2026-03,mta_tax,float64
2026-03,tip_amount,float64
2026-03,tolls_amount,float64
2026-03,improvement_surcharge,float64
2026-03,total_amount,float64
2026-03,congestion_surcharge,float64
2026-03,Airport_fee,float64
2026-03,cbd_congestion_fee,float64
